id,at,actor,action,entity,entity_id,before,after
1786,2026-09-09 02:25:16.928273+00,zion,collection.set_ticket,collections,24950,"{""weigh_ticket_no"": ""LR442""}","{""reason"": ""weighbridge ticket recorded (operator console)"", ""app_patched"": true, ""weigh_ticket_no"": null}"
1787,2026-09-09 02:25:20.903181+00,zion,collection.set_dispose,collections,24950,"{""dispose_to"": null}","{""dispose_to"": ""Lirich yard""}"
1788,2026-09-09 02:25:23.651457+00,zion,collection.review,collection_reviews,24950,,"{""do_no"": ""24950"", ""reviewed"": true, ""reviewed_at"": ""2026-09-09T02:25:23.597+00:00"", ""reviewed_by"": ""zion""}"
1789,2026-09-09 02:26:06.663336+00,zion,collection.set_ticket,collections,43375,"{""weigh_ticket_no"": ""LR426""}","{""reason"": ""weighbridge ticket recorded (operator console)"", ""app_patched"": true, ""weigh_ticket_no"": null}"
1790,2026-09-09 02:26:10.258419+00,zion,collection.set_dispose,collections,43375,"{""dispose_to"": null}","{""dispose_to"": ""Lirich yard""}"
1791,2026-09-09 02:26:25.097873+00,zion,collection.set_site,collections,43375,"{""price"": 13, ""address"": ""6 Tuas South Street 15"", ""site_id"": ""STE_005""}","{""price"": 13, ""address"": ""55 Gul Road"", ""site_id"": ""STE_002"", ""app_patched"": true}"
1792,2026-09-09 02:26:35.886337+00,zion,adjustment.add,collections,43375,"{""net_kg"": ""2950""}","{""net_kg"": ""4250"", ""reason"": ""Weight adjustment +1300 kg (chit model: net = gross + adj - tare)""}"
1793,2026-09-09 02:26:47.866244+00,zion,collection.review,collection_reviews,43375,,"{""do_no"": ""43375"", ""reviewed"": true, ""reviewed_at"": ""2026-09-09T02:26:47.773+00:00"", ""reviewed_by"": ""zion""}"
1794,2026-09-09 02:32:49.638037+00,zion,job.create,collections,43376,,"{""price"": 13, ""job_id"": 755, ""net_kg"": 4260, ""reason"": ""Driver forgot to submit"", ""site_id"": ""STE_002"", ""trip_id"": 608, ""job_type"": ""Exchange"", ""driver_id"": ""YAO_JUN"", ""app_patched"": true}"
1795,2026-09-09 02:32:52.080263+00,zion,photo.attach,collections,43376,"{""photo_do_ref"": null}","{""replaced"": false, ""app_patched"": true, ""photo_do_ref"": ""office/43376-1788921170026.jpeg""}"
1796,2026-09-09 02:33:14.816605+00,zion,adjustment.add,collections,43376,"{""net_kg"": ""4260""}","{""net_kg"": ""5660"", ""reason"": ""Weight adjustment +1400 kg (chit model: net = gross + adj - tare)""}"
1797,2026-09-09 02:33:22.324639+00,zion,collection.review,collection_reviews,43376,,"{""do_no"": ""43376"", ""reviewed"": true, ""reviewed_at"": ""2026-09-09T02:33:22.267+00:00"", ""reviewed_by"": ""zion""}"
1798,2026-09-09 02:34:52.599571+00,zion,collection.set_dono,collections,433781,"{""do_no"": ""43378""}","{""do_no"": ""433781"", ""reason"": ""Didnt put the customer"", ""cascade"": {""adjustments"": ""ok"", ""onward_disposal"": ""ok"", ""collection_reviews"": ""ok""}, ""has_scan"": true, ""app_patched"": true}"
1799,2026-09-09 02:35:15.20346+00,zion,collection.set_dono,collections,433771,"{""do_no"": ""43377""}","{""do_no"": ""433771"", ""reason"": ""Didnt put the customer"", ""cascade"": {""adjustments"": ""ok"", ""onward_disposal"": ""ok"", ""collection_reviews"": ""ok""}, ""has_scan"": true, ""app_patched"": true}"
1800,2026-09-09 02:36:21.037415+00,zion,job.create,collections,43377,,"{""price"": 13, ""job_id"": 756, ""net_kg"": 2750, ""reason"": ""Driver forgot to submit"", ""site_id"": ""STE_002"", ""trip_id"": 609, ""job_type"": ""Exchange"", ""driver_id"": ""YAO_JUN"", ""app_patched"": true}"
1801,2026-09-09 02:36:23.339378+00,zion,photo.attach,collections,43377,"{""photo_do_ref"": null}","{""replaced"": false, ""app_patched"": true, ""photo_do_ref"": ""office/43377-1788921381559.jpeg""}"
1802,2026-09-09 02:36:44.747625+00,zion,adjustment.add,collections,43377,"{""net_kg"": ""2750""}","{""net_kg"": ""3950"", ""reason"": ""Weight adjustment +1200 kg (chit model: net = gross + adj - tare)""}"
1803,2026-09-09 02:36:50.68584+00,zion,collection.review,collection_reviews,43377,,"{""do_no"": ""43377"", ""reviewed"": true, ""reviewed_at"": ""2026-09-09T02:36:50.635+00:00"", ""reviewed_by"": ""zion""}"
1804,2026-09-09 02:37:36.608901+00,zion,job.create,collections,43378,,"{""price"": 13, ""job_id"": 757, ""net_kg"": 3780, ""reason"": ""Driver forgot to submit"", ""site_id"": ""STE_002"", ""trip_id"": 610, ""job_type"": ""Exchange"", ""driver_id"": ""YAO_JUN"", ""app_patched"": true}"
1805,2026-09-09 02:37:38.512474+00,zion,photo.attach,collections,43378,"{""photo_do_ref"": null}","{""replaced"": false, ""app_patched"": true, ""photo_do_ref"": ""office/43378-1788921456965.jpeg""}"
1806,2026-09-09 02:37:58.105119+00,zion,adjustment.add,collections,43378,"{""net_kg"": ""3780""}","{""net_kg"": ""5080"", ""reason"": ""Weight adjustment +1300 kg (chit model: net = gross + adj - tare)""}"
1807,2026-09-09 02:38:00.829779+00,zion,collection.review,collection_reviews,43378,,"{""do_no"": ""43378"", ""reviewed"": true, ""reviewed_at"": ""2026-09-09T02:38:00.722+00:00"", ""reviewed_by"": ""zion""}"
1808,2026-09-09 02:45:06.677219+00,zion,adjustment.add,collections,25011,"{""net_kg"": ""3510""}","{""net_kg"": ""4810"", ""reason"": ""Weight adjustment +1300 kg (chit model: net = gross + adj - tare)""}"
1809,2026-09-09 02:45:17.913351+00,zion,collection.set_ticket,collections,25011,"{""weigh_ticket_no"": ""LR428""}","{""reason"": ""weighbridge ticket recorded (operator console)"", ""app_patched"": true, ""weigh_ticket_no"": null}"
1810,2026-09-09 02:45:50.58174+00,zion,collection.set_ticket,collections,25012,"{""weigh_ticket_no"": ""LR430""}","{""reason"": ""weighbridge ticket recorded (operator console)"", ""app_patched"": true, ""weigh_ticket_no"": null}"
1811,2026-09-09 02:45:57.168824+00,zion,adjustment.add,collections,25012,"{""net_kg"": ""2550""}","{""net_kg"": ""3750"", ""reason"": ""Weight adjustment +1200 kg (chit model: net = gross + adj - tare)""}"
1812,2026-09-09 02:46:26.852359+00,zion,collection.set_ticket,collections,25013,"{""weigh_ticket_no"": ""LR431""}","{""reason"": ""weighbridge ticket recorded (operator console)"", ""app_patched"": true, ""weigh_ticket_no"": null}"
