id,domain,key,route,value,unit,basis,source_ref,valid_from,uncertainty_pct
58,material,production_of_cement_opc,,0.923000,kgCO2e/kg,Production of Cement (OPC) |  | Boundary incl:  | excl: ,SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | EN15804 | AR5,2022-05-01,
59,material,production_of_washed_copper_slag_wcs,,0.281850,kgCO2e/kg,Production of Washed Copper Slag (WCS) |  | Boundary incl:  | excl: ,SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | EN15804 | AR5,2022-05-01,
60,material,production_of_eco_concrete_50_ggbs_replacement_grade_40,,0.106867,kgCO2e/kg,Production of Eco Concrete (50% GGBS Replacement) Grade 40 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
61,material,production_of_hdpe_pipe,,2.410000,kgCO2e/kg,Production of HDPE Pipe |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
62,material,production_of_general_clay_bricks,,0.213000,kgCO2e/kg,Production of General Clay Bricks |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
63,material,production_of_precast_eco_concrete_50_ggbs_replacement_grade,,0.144000,kgCO2e/kg,Production of Precast Eco Concrete (50% GGBS Replacement) Grade 50 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
64,material,production_of_precast_eco_concrete_25_ggbs_replacement_grade,,0.104138,kgCO2e/kg,Production of Precast Eco Concrete (25% GGBS Replacement) Grade 30 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
65,material,production_of_precast_eco_concrete_15_fly_ash_replacement_gr,,0.126850,kgCO2e/kg,Production of Precast Eco Concrete (15% Fly Ash Replacement) Grade 30 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
66,material,production_of_eco_concrete_25_ggbs_replacement_grade_30,,0.101288,kgCO2e/kg,Production of Eco Concrete (25% GGBS Replacement) Grade 30 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
67,material,production_of_eco_concrete_25_ggbs_replacement_grade_40,,0.128326,kgCO2e/kg,Production of Eco Concrete (25% GGBS Replacement) Grade 40 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
68,material,production_of_polyvinyl_chloride_pvc_waterproofing,,1.250000,kgCO2e/kg,Production of Polyvinyl Chloride (PVC) Waterproofing |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
69,material,production_of_primary_steel,,1.730000,kgCO2e/kg,Production of Primary Steel | Average Carbon Footprint of a virgin steel sheet | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
70,material,production_of_precast_eco_concrete_15_fly_ash_replacement_gr,,0.160350,kgCO2e/kg,Production of Precast Eco Concrete (15% Fly Ash Replacement) Grade 40 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
71,material,production_of_coarse_aggregates,,0.004800,kgCO2e/kg,Production of Coarse Aggregates |  | Boundary incl:  | excl: ,SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | EN15804 | AR5,2022-05-01,
72,material,production_of_tempered_glass,,2.977000,kgCO2e/kg,Production of Tempered Glass |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
73,material,production_of_precast_eco_concrete_25_ggbs_replacement_grade,,0.131176,kgCO2e/kg,Production of Precast Eco Concrete (25% GGBS Replacement) Grade 40 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
74,material,production_of_precast_concrete_natural_grade_50,,0.183210,kgCO2e/kg,Production of Precast Concrete (Natural) Grade 50 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
75,material,production_of_precast_eco_concrete_25_ggbs_replacement_grade,,0.142950,kgCO2e/kg,Production of Precast Eco Concrete (25% GGBS Replacement) Grade 50 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
76,material,production_of_laminated_glass,,1.545455,kgCO2e/kg,Production of Laminated Glass |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
77,material,production_of_precast_eco_concrete_50_ggbs_replacement_grade,,0.087399,kgCO2e/kg,Production of Precast Eco Concrete (50% GGBS Replacement) Grade 30 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
78,material,production_of_sand,,0.004380,kgCO2e/kg,Production of Sand |  | Boundary incl:  | excl: ,SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | EN15804 | AR5,2022-05-01,
79,material,production_of_cross_lamininated_timber,,-1.310000,kgCO2e/kg,Production of Cross Lamininated Timber |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
80,material,production_of_eco_concrete_30_fly_ash_replacement_grade_30,,0.124000,kgCO2e/kg,Production of Eco Concrete (30% Fly Ash Replacement) Grade 30 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
81,material,production_of_concrete_natural_grade_50,,0.180360,kgCO2e/kg,Production of Concrete (Natural) Grade 50 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
82,material,production_of_sheet_aluminium_virgin,,9.050000,kgCO2e/kg,Production of Sheet Aluminium Virgin |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
83,material,production_of_eco_concrete_30_fly_ash_replacement_grade_50,,0.161000,kgCO2e/kg,Production of Eco Concrete (30% Fly Ash Replacement) Grade 50 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
84,material,production_of_concrete_natural_grade_40,,0.160944,kgCO2e/kg,Production of Concrete (Natural) Grade 40 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
85,material,production_of_mineral_fiber_board,,1.280000,kgCO2e/kg,Production of Mineral Fiber Board |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
86,material,production_of_waterborne_paint,,2.540000,kgCO2e/kg,Production of Waterborne Paint |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
87,material,production_of_eco_concrete_50_ggbs_replacement_grade_50,,0.119000,kgCO2e/kg,Production of Eco Concrete (50% GGBS Replacement) Grade 50 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
88,material,production_of_pvc_pipe,,3.080000,kgCO2e/kg,Production of PVC Pipe |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
89,material,production_of_eco_concrete_25_ggbs_replacement_grade_50,,0.140100,kgCO2e/kg,Production of Eco Concrete (25% GGBS Replacement) Grade 50 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
90,material,production_of_eco_concrete_30_fly_ash_replacement_grade_40,,0.157500,kgCO2e/kg,Production of Eco Concrete (30% Fly Ash Replacement) Grade 40 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
91,material,production_of_sheet_aluminium_recycled,,3.350000,kgCO2e/kg,Production of Sheet Aluminium Recycled |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
92,material,production_of_recycled_steel_section,,0.820000,kgCO2e/kg,"Production of Recycled Steel Section | Average Carbon Footprint of steel sections (i.e. I-Beams, H-Beams, C-Channels, etc.) | Boundary incl:  | excl: ","SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
93,material,production_of_eco_concrete_15_fly_ash_replacement_grade_50,,0.162000,kgCO2e/kg,Production of Eco Concrete (15% Fly Ash Replacement) Grade 50 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
94,material,production_of_eco_concrete_15_fly_ash_replacement_grade_30,,0.124000,kgCO2e/kg,Production of Eco Concrete (15% Fly Ash Replacement) Grade 30 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
95,material,production_of_primary_steel_section,,2.840000,kgCO2e/kg,"Production of Primary Steel Section | Average Carbon Footprint of virgin steel sections (i.e. I-Beams, H-Beams, C-Channels, etc.) | Boundary incl:  | excl: ","SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
96,material,production_of_concrete_natural_grade_30,,0.134335,kgCO2e/kg,Production of Concrete (Natural) Grade 30 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
97,fuel,coal_tar,combustion,2271.514000,kgCO2e/t,"Combustion of Coal Tar | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, please","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
98,fuel,industrial_waste,combustion,1449.000000,kgCO2e/t,"Combustion of Industrial Waste | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
