do_no,source,job_no,do_date,do_type,trip_type,site_id,vessel_name,berth,vehicle_id,driver_id,job_type,waste_type,bin_in,bin_out,vol_cat_a,vol_cat_b,vol_cat_c,vol_cat_d,vol_cat_e,vol_cat_f,vol_total_m3,gross_kg,tare_kg,net_kg,weigh_ticket_no,weigh_location,weight_source,gps_lat,gps_lng,gps_accuracy_m,gps_captured_at,photo_do_ref,photo_sig_ref,photo_weigh_ref,receipt_ref,disposal_facility,xero_invoice_id,backfill_notes,synced_at,sludge_requested_t,sludge_actual_t,dispose_to,vol_cat_i,vol_other_m3,other_desc,vol_oily_rags_m3,vol_expired_med_m3,bin_qty,voyage_no,claim_state,bin_in_raw,bin_out_raw
WB-LR21252,backfill,,2026-03-09,,,ART_001,,,,,,General Waste,,,,,,,,,,17810.0,14250.0,3560.0,LR21252,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:39.702707+00,,,,,,,,,,,UNASSIGNED,,
WB-LR21410,backfill,,2026-03-16,,,ART_001,,,,,,General Waste,,,,,,,,,,17290.0,14230.0,3060.0,LR21410,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:39.761593+00,,,,,,,,,,,UNASSIGNED,,
WB-LR21508,backfill,,2026-03-23,,,ART_001,,,,,,General Waste,,,,,,,,,,17480.0,14230.0,3250.0,LR21508,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:39.814953+00,,,,,,,,,,,UNASSIGNED,,
WB-LR21639,backfill,,2026-03-31,,,ART_001,,,,,,General Waste,,,,,,,,,,18200.0,14150.0,4050.0,LR21639,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:39.869662+00,,,,,,,,,,,UNASSIGNED,,
WB-LR21749,backfill,,2026-04-06,,,ART_001,,,,,,General Waste,,,,,,,,,,17470.0,14250.0,3220.0,LR21749,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:39.922281+00,,,,,,,,,,,UNASSIGNED,,
WB-LR21852,backfill,,2026-04-09,,,ART_001,,,,,,General Waste,,,,,,,,,,17080.0,14250.0,2830.0,LR21852,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:39.972122+00,,,,,,,,,,,UNASSIGNED,,
WB-LR21962,backfill,,2026-04-15,,,ART_001,,,,,,General Waste,,,,,,,,,,18090.0,14240.0,3850.0,LR21962,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:40.038988+00,,,,,,,,,,,UNASSIGNED,,
WB-LR22078,backfill,,2026-04-21,,,ART_001,,,,,,General Waste,,,,,,,,,,18450.0,14250.0,4200.0,LR22078,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:40.096845+00,,,,,,,,,,,UNASSIGNED,,
WB-LR22219,backfill,,2026-04-29,,,ART_001,,,,,,General Waste,,,,,,,,,,17590.0,14460.0,3130.0,LR22219,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:40.146628+00,,,,,,,,,,,UNASSIGNED,,
WB-LR22302,backfill,,2026-05-04,,,ART_001,,,,,,General Waste,,,,,,,,,,17880.0,14240.0,3640.0,LR22302,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:40.201074+00,,,,,,,,,,,UNASSIGNED,,
WB-LR22419,backfill,,2026-05-12,,,ART_001,,,,,,General Waste,,,,,,,,,,17440.0,14100.0,3340.0,LR22419,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:40.254489+00,,,,,,,,,,,UNASSIGNED,,
WB-LR22517,backfill,,2026-05-18,,,ART_001,,,,,,General Waste,,,,,,,,,,15450.0,1425.0,14025.0,LR22517,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:40.308668+00,,,,,,,,,,,UNASSIGNED,,
WB-LR22518,backfill,,2026-05-18,,,ART_001,,,,,,General Waste,,,,,,,,,,18690.0,14250.0,4440.0,LR22518,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:40.365121+00,,,,,,,,,,,UNASSIGNED,,
WB-LR22635,backfill,,2026-05-22,,,ART_001,,,,,,General Waste,,,,,,,,,,17790.0,14000.0,3790.0,LR22635,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:40.439746+00,,,,,,,,,,,UNASSIGNED,,
WB-LR22726,backfill,,2026-06-02,,,ART_001,,,,,,General Waste,,,,,,,,,,17260.0,14050.0,3210.0,LR22726,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:40.54646+00,,,,,,,,,,,UNASSIGNED,,
WB-LR22837,backfill,,2026-06-12,,,ART_001,,,,,,General Waste,,,,,,,,,,18630.0,14050.0,4580.0,LR22837,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:40.602279+00,,,,,,,,,,,UNASSIGNED,,
26809,backfill,,2026-05-13,land,Exchange,PAX_001,,,XE6221D,,,General Waste,,,,,,,,,,13990.0,14950.0,970.0,998,,weighbridge,,,,,,,,,,,remarks=Backfill DO + weighbridge (May 2026); 1x5FT; weighed by AMIR-K12898 | pt7 missing-middle,2026-07-24 15:15:51.944859+00,,,,,,,,,,,UNASSIGNED,,
